keyword,type,importance,list1,list2,list3
表書き,専門,10,,,
ツール,専門,10,,,
のし袋,専門,10,,,
宗派,専門,10,,,
道具,専門,10,,,
（ウェブサイト）,固有名詞,10,,,
（感情）,固有名詞,10,,,
（形）,固有名詞,10,,,
（国名）,固有名詞,10,,,
（人名）,固有名詞,10,,,
（地名）,固有名詞,10,,,
（店名）,固有名詞,10,,,
（日付）,固有名詞,10,,,
（料理名）,固有名詞,10,,,
減少,時間変化,9,,,
工程,時間変化,9,,,
行程,時間変化,9,,,
手順,時間変化,9,,,
順番,時間変化,9,,,
増加,時間変化,9,,,
日程,時間変化,9,,,
年,時間変化,9,,,
年間,時間変化,9,,,
変動,時間変化,9,,,
クリック,位置,8,,,
コピー,位置,8,,,
メモ,位置,8,,,
リンク,位置,8,,,
右寄せ,位置,8,,,
下部,位置,8,,,
記載,位置,8,,,
左寄せ,位置,8,,,
上部,位置,8,,,
選択,位置,8,,,
中央,位置,8,,,
追加,位置,8,,,
入力,位置,8,,,
付け足し,位置,8,,,
隣,位置,8,,,
%,比較,7,,,
％,比較,7,,,
デメリット,比較,7,,,
バランス,比較,7,,,
メリット,比較,7,,,
割合,比較,7,,,
条件,比較,7,,,
相違点,比較,7,,,
比較,比較,7,,,
分類,比較,7,,,
率,比較,7,,,
やり方,方法,6,,,
作法,方法,6,,,
手続き,方法,6,,,
書き方,方法,6,,,
渡し方,方法,6,,,
包み方,方法,6,,,
流れ,方法,6,,,
方法,方法,6,,,
強調,状況,5,,,
景色,状況,5,,,
実際,状況,5,,,
症状,状況,5,,,
身体,状況,5,,,
体,状況,5,,,
表示,状況,5,,,
病状,状況,5,,,
風景,状況,5,,,
確認,状況,5,,,
原因,分類,4,,,
種類,分類,4,,,
症例,分類,4,,,
関係,対応,3,,,
成分,対応,3,,,
おすすめ,イメージ,2,,,
キー,イメージ,2,,,
感情,イメージ,2,,,
気持ち,イメージ,2,,,
気分,イメージ,2,,,
具合,イメージ,2,,,
具体例,イメージ,2,,,
要約,イメージ,2,,,
電話番号,アイコン,1,,,
メールアドレス,アイコン,1,,,
郵便番号,アイコン,1,,,
